itemID,itemName,category,availability,prepTime,stallID,price
ITEM_M01,Nasi Lemak Ayam,Food,1,8,STALL_01,8.50
ITEM_M02,Teh Tarik,Beverage,1,3,STALL_01,3.00
ITEM_C01,Sweet & Sour Chicken Rice,Food,1,10,STALL_02,9.50
ITEM_C02,Dim Sum Set,Food,1,5,STALL_02,12.00
ITEM_W01,Chicken Chop,Food,1,15,STALL_03,15.50
ITEM_I01,Roti Canai,Food,1,4,STALL_04,2.50
ITEM_I02,Mango Lassi,Beverage,0,5,STALL_04,6.00
ITEM_D03,Bird nest,Dessert,1,25,STALL_02,25.90
ITEM_D01,Toufufa,Dessert,1,15,STALL_02,9.00
ITEM_D02,Green bean,Dessert,1,15,STALL_02,11.00
